inherited_word_id,inherited_word,meaning,lang_id,first_attestation,is_primary,is_regional,variety_or_region,notes
265,encanijarse,,16,17,yes,no,,
266,encarrujado,,16,16,yes,no,,
267,encher,,13,13,yes,no,,
268,enclinar,,17,12,yes,no,,
269,enclinou,,13,13,yes,no,,
270,encloír,,17,13,yes,no,,
271,endeble,,16,17,yes,no,,
272,engrude,,13,13,yes,no,,
273,engrudo,,17,13,yes,no,,
274,enlloer,,15,,yes,no,,
275,enpregar,,13,13,yes,no,,
276,ensancha,,17,13,yes,no,,
277,ensancham,,13,15,yes,no,,
278,enssiemplo,,17,12,yes,no,,
279,ensullo,,12,19,yes,no,,
280,ensullo,,17,13,yes,no,,
281,envurullar,,13,13,yes,no,,
282,esbullar,,13,13,yes,no,,
283,escabollirse,,17,14,yes,no,,
284,escalla,,20,,yes,no,,
285,escambuñeyro,,12,18,yes,no,,
286,escanda,,13,12-13,yes,no,,
287,escaña,,17,15,yes,no,,
288,escaramujo,,17,15,yes,no,,
289,escaravaio,,17,13,yes,no,,
290,escaravello,,13,15,yes,no,,
291,escolho,,14,16,yes,no,,
292,escollo,,16,17,yes,no,,
293,espalda,,17,13,yes,no,,
294,espeilho,,23,,yes,no,,
295,espello,,13,13,yes,no,,
296,espiello,,20,,yes,no,,
297,espligo,,17,14-15,yes,no,,
298,espligo,,20,14,yes,no,,
299,esprego,,12,19,yes,no,,
300,espreita,,13,13,yes,no,,
301,estrujar,,17,15,yes,no,,
302,estrulloulle,,13,14-15,yes,no,,
303,estruyar,,15,,yes,no,,
304,excludir,,13,15,yes,no,,
305,excludir,,17,15,yes,no,,
306,exempro,,13,13,yes,no,,
307,fabla,,17,12,yes,no,,
308,fablar,,17,12,yes,no,,
309,fachas,,13,14,yes,no,,
310,faja,,17,13,yes,no,,
311,fala,,13,13,yes,no,,
312,falaren,,13,12-13,yes,no,,
313,fallar,,17,12,yes,no,,
314,fallazgo,,17,13,yes,no,,
315,faúlha,,14,17,yes,no,,
316,febre,,12,14,yes,no,,
317,fechadas,,13,13,yes,no,,
318,feegres,,13,13,yes,no,,
319,feligres,,17,13,yes,no,,
320,ferrollo,,13,13-14,yes,no,,
321,ficheira,,13,12,yes,no,,
322,finojo,,17,13,yes,no,,
323,fistra,,16,19,yes,no,,
324,flaco,,17,12,yes,no,,
325,flagrante,,17,15,yes,no,,
326,flagrante,,12,20,yes,no,,
327,flauta,,17,14,yes,no,,
328,fllama,,18,,yes,no,,
329,fllor,,20,,yes,no,,
330,florido,,17,14,yes,no,,
331,floronco,,17,15,yes,no,,
332,floxo,,17,13,yes,no,,
333,flueco,,17,14,yes,no,,
334,folhelho,,13,13,yes,no,,
335,fótula,,,16,yes,no,,
336,fraco,,13,13,yes,no,,
337,frasca,,13,15,yes,no,,
338,frasca,,17,13,yes,no,,
339,frauta,,13,15,yes,no,,
340,frocos,,13,13,yes,no,,
341,froixo,,13,14,yes,no,,
342,fruncho,,13,14,yes,no,,
343,funcho,,13,14,yes,no,,
344,gẽollos,,13,13,yes,no,,
345,glabro,,16,19,yes,no,,
346,glabros,,12,20,yes,no,,
347,gladio,,17,13,yes,no,,
348,glayar,,15,,yes,no,,
349,gleba,,17,15,yes,no,,
350,glera,,17,12,yes,no,,
351,glorias,,17,12,yes,no,,
352,glosa,,17,13,yes,no,,
353,glotón,,17,13,yes,no,,
354,gluma,,12,20,yes,no,,
355,gluma,,16,19,yes,no,,
356,golpello,,13,13,yes,no,,
357,grajos,,17,15,yes,no,,
358,gralheira,,13,13,yes,no,,
359,grimpa,,12,20,yes,no,,
360,grimpola,,17,15,yes,no,,
361,grodom,,12,13,yes,no,,
362,groriosa,,13,13,yes,no,,
363,grosa,,13,14,yes,no,,
364,guedelia,,13,12,yes,no,,
365,güeyu,,15,,yes,no,,
366,gulpeja,,17,13,yes,no,,
367,hojalde,,17,15,yes,no,,
368,hollejo,,17,15,yes,no,,
369,ilesia,,15,,yes,no,,
370,inchaçon,,13,13,yes,no,,
371,inchámoslas,,17,12,yes,no,,
372,inchazón,,17,13,yes,no,,
373,inchou,,13,13,yes,no,,
374,inojos,,16,12,yes,no,,
375,inssoa,,13,13,yes,no,,
376,isla,,17,13,yes,no,,
377,juviello,,20,15,yes,no,,
378,lambrija,,16,18,yes,no,,
379,lancha,,17,13,yes,no,,
380,lancha,,12,20,yes,no,,
381,lancha,,14,19,yes,no,,
382,lande,,17,12,yes,no,,
383,lande,,13,15,yes,no,,
384,landoas,,13,14,yes,no,,
385,landre,,17,15,yes,no,,
386,larea,,13,9,yes,no,,
387,laredo,,14,20,yes,no,,
388,lastima,,17,14,yes,no,,
389,lastimado,,13,14,yes,no,,
390,latidos,,17,14,yes,no,,
391,lazo,,12,19,yes,no,,
392,legra,,17,13,yes,no,,
393,legra,,13,15,yes,no,,
394,leibas,,12,20,yes,no,,
395,leirão,,14,19,yes,no,,
396,leirón,,12,19,yes,no,,
397,leiva,,14,17,yes,no,,
398,lentejas,,17,13,yes,no,,
399,lentellas,,13,14,yes,no,,
400,lera,,16,,yes,yes,Santander,
401,lirón,,17,13,yes,no,,
402,llacia,,15,,yes,no,,
403,llacio,,17,13,yes,no,,
404,llaga,,17,13,yes,no,,
405,llagar,,17,12,yes,no,,
406,llama,,17,13,yes,no,,
407,llama,,17,12,yes,no,,
